system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,checkoutservice_cpu_1,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.63,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,50.84,[]
ours,checkoutservice_cpu_2,checkoutservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.76,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,41.2,[]
ours,checkoutservice_cpu_3,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.73,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,50.07,[]
ours,checkoutservice_delay_1,checkoutservice,delay,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.8,"[""checkoutservice"", ""frontend""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,47.9,[]
ours,checkoutservice_delay_2,checkoutservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,47.38,[]
ours,checkoutservice_delay_3,checkoutservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.63,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,46.25,[]
ours,checkoutservice_disk_1,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.86,"[""checkoutservice""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,42.94,[]
ours,checkoutservice_disk_2,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.8,"[""checkoutservice""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,42.18,[]
ours,checkoutservice_disk_3,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.43,"[""checkoutservice""]",weak-evidence,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,47.02,[]
ours,checkoutservice_loss_1,checkoutservice,loss,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.73,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,49.52,[]
