system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,checkoutservice_cpu_1,checkoutservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.48,"[""redis""]",weak-evidence,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,52.73,[]
ours,checkoutservice_cpu_2,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,redis,0.76,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,40.14,[]
ours,checkoutservice_cpu_3,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.86,"[""checkoutservice""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,48.98,[]
ours,checkoutservice_delay_1,checkoutservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.73,"[""redis"", ""cartservice""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,48.3,[]
ours,checkoutservice_delay_2,checkoutservice,delay,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.66,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,51.25,[]
ours,checkoutservice_delay_3,checkoutservice,delay,OVERCONFIDENT,Wrong top-1 'currencyservice' accepted with conf=0.83,False,False,,currencyservice,0.83,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,50.55,[]
ours,checkoutservice_disk_1,checkoutservice,disk,RANKING,GT found in Top-3 but not Top-1,False,True,,redis,0.78,"[""redis"", ""checkoutservice""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,50.05,[]
ours,checkoutservice_disk_2,checkoutservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.76,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,57.71,[]
ours,checkoutservice_disk_3,checkoutservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,52.28,[]
ours,checkoutservice_loss_1,checkoutservice,loss,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.80,False,False,,redis,0.8,"[""redis"", ""frontend""]",accepted,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,47.39,[]
ours,checkoutservice_loss_2,checkoutservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,shippingservice,0.68,"[""shippingservice"", ""frontend""]",revised,0,0,0,True,True,"[""shippingservice"", ""frontend""]",2,0,56.88,[]
ours,checkoutservice_loss_3,checkoutservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.75,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,50.42,[]
ours,checkoutservice_mem_1,checkoutservice,mem,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.83,False,False,,redis,0.83,"[""redis"", ""frontend""]",accepted,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,52.75,[]
ours,checkoutservice_mem_2,checkoutservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.48,"[""redis"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,45.63,[]
ours,checkoutservice_mem_3,checkoutservice,mem,CORRECT,Top-1 matches ground truth,True,True,,redis,0.43,"[""redis"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,49.82,[]
ours,checkoutservice_socket_1,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.76,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,46.1,[]
ours,checkoutservice_socket_2,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,frontend,0.48,"[""frontend"", ""redis""]",weak-evidence,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,53.99,[]
ours,checkoutservice_socket_3,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.7,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,50.47,[]
ours,currencyservice_cpu_1,currencyservice,cpu,RANKING,GT found in Top-3 but not Top-1,False,True,,frontend,0.66,"[""frontend"", ""shippingservice"", ""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,55.95,[]
ours,currencyservice_cpu_2,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.73,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,47.6,[]
ours,currencyservice_cpu_3,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.8,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,52.6,[]
ours,currencyservice_delay_1,currencyservice,delay,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.8,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,42.14,[]
ours,currencyservice_delay_2,currencyservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,39.45,[]
ours,currencyservice_delay_3,currencyservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.7,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,46.13,[]
ours,currencyservice_disk_1,currencyservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.68,"[""frontend"", ""redis""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,51.65,[]
ours,currencyservice_disk_2,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,redis,0.65,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""currencyservice"", ""frontend""]",3,0,47.17,[]
ours,currencyservice_disk_3,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.7,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,58.36,[]
ours,currencyservice_loss_1,currencyservice,loss,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.83,False,False,,redis,0.83,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,46.75,[]
ours,currencyservice_loss_2,currencyservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,43.52,[]
ours,currencyservice_loss_3,currencyservice,loss,CORRECT,Top-1 matches ground truth,True,True,,redis,0.73,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""currencyservice"", ""frontend""]",3,0,43.54,[]
ours,currencyservice_mem_1,currencyservice,mem,CORRECT,Top-1 matches ground truth,True,True,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""currencyservice"", ""frontend""]",3,0,51.72,[]
ours,currencyservice_mem_2,currencyservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,49.07,[]
ours,currencyservice_mem_3,currencyservice,mem,OVERCONFIDENT,Wrong top-1 'adservice' accepted with conf=0.80,False,False,,adservice,0.8,"[""adservice""]",accepted,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,53.23,[]
ours,currencyservice_socket_1,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.63,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,44.28,[]
ours,currencyservice_socket_2,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.8,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,48.08,[]
ours,currencyservice_socket_3,currencyservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.48,"[""redis"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,51.44,[]
ours,emailservice_cpu_1,emailservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,54.31,[]
ours,emailservice_cpu_2,emailservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,46.21,[]
ours,emailservice_cpu_3,emailservice,cpu,RANKING,GT found in Top-3 but not Top-1,False,True,,frontend,0.26,"[""frontend"", ""shippingservice"", ""redis""]",weak-evidence,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,62.1,[]
ours,emailservice_delay_1,emailservice,delay,CORRECT,Top-1 matches ground truth,True,True,,frontend,0.6,"[""frontend""]",revised,0,0,0,True,True,"[""frontend""]",1,0,62.59,[]
ours,emailservice_delay_2,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.74,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,55.95,[]
ours,emailservice_delay_3,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.78,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,44.54,[]
ours,emailservice_disk_1,emailservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,49.6,[]
ours,emailservice_disk_2,emailservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.66,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,58.65,[]
ours,emailservice_disk_3,emailservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,cartservice,0.4,"[""cartservice"", ""productcatalogservice""]",weak-evidence,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,55.97,[]
ours,emailservice_loss_1,emailservice,loss,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.80,False,False,,redis,0.8,"[""redis"", ""cartservice"", ""frontend""]",accepted,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,54.15,[]
ours,emailservice_loss_3,emailservice,loss,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.93,"[""emailservice"", ""checkoutservice"", ""frontend""]",accepted,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,68.13,[]
ours,emailservice_mem_1,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.48,"[""frontend"", ""currencyservice""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,58.01,[]
ours,emailservice_mem_2,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,productcatalogservice,0.4,"[""productcatalogservice"", ""checkoutservice"", ""cartservice""]",weak-evidence,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,50.83,[]
ours,emailservice_mem_3,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend"", ""checkoutservice""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,55.14,[]
ours,emailservice_socket_1,emailservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,54.43,[]
ours,emailservice_socket_2,emailservice,socket,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.90,False,False,,redis,0.9,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""checkoutservice"", ""frontend""]",3,0,51.11,[]
ours,emailservice_socket_3,emailservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.18,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,47.93,[]
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.73,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,53.74,[]
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,RANKING,GT found in Top-3 but not Top-1,False,True,,frontend,0.66,"[""frontend"", ""productcatalogservice""]",revised,0,0,0,True,True,"[""frontend""]",1,0,52.78,[]
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,redis,0.8,"[""redis"", ""frontend"", ""frontend""]",accepted,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,54.67,[]
ours,productcatalogservice_delay_1,productcatalogservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.68,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,53.12,[]
ours,productcatalogservice_delay_2,productcatalogservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.7,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,56.95,[]
ours,productcatalogservice_delay_3,productcatalogservice,delay,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.86,False,False,,redis,0.86,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,47.64,[]
ours,productcatalogservice_disk_1,productcatalogservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,48.39,[]
ours,productcatalogservice_disk_2,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.86,"[""productcatalogservice""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,50.99,[]
ours,productcatalogservice_disk_3,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,catalog-service,0.73,"[""catalog-service"", ""frontend""]",revised,0,0,0,True,True,"[""catalog-service"", ""frontend""]",2,0,48.8,[]
ours,productcatalogservice_loss_1,productcatalogservice,loss,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.8,"[""productcatalogservice""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,37.66,[]
