system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,checkoutservice_cpu_1,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,32.49,[]
ours,checkoutservice_cpu_2,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,26.98,[]
ours,checkoutservice_cpu_3,checkoutservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,28.19,[]
ours,checkoutservice_delay_1,checkoutservice,delay,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,57.18,[]
ours,checkoutservice_delay_2,checkoutservice,delay,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,31.47,[]
ours,checkoutservice_delay_3,checkoutservice,delay,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,32.01,[]
ours,checkoutservice_disk_1,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,27.78,[]
ours,checkoutservice_disk_2,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,39.72,[]
ours,checkoutservice_disk_3,checkoutservice,disk,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,27.86,[]
ours,checkoutservice_loss_1,checkoutservice,loss,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,38.28,[]
ours,checkoutservice_loss_2,checkoutservice,loss,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,39.82,[]
ours,checkoutservice_loss_3,checkoutservice,loss,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,36.67,[]
ours,checkoutservice_mem_1,checkoutservice,mem,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,32.49,[]
ours,checkoutservice_mem_2,checkoutservice,mem,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,30.1,[]
ours,checkoutservice_mem_3,checkoutservice,mem,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,40.6,[]
ours,checkoutservice_socket_1,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,29.04,[]
